LGA_CODE_2014,LGA_NAME_2014,LGA_CODE_2019,LGA_NAME_2019,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
36150,Quilpie (S),36150,Quilpie (S),1,Good,Good,0
36250,Redland (C),36250,Redland (C),1,Good,Good,0
36300,Richmond (S),36300,Richmond (S),1,Good,Good,0
36370,Rockhampton (R),36370,Rockhampton (R),1,Good,Good,0
36510,Scenic Rim (R),33960,Ipswich (C),0.0001074,Good,Good,1
36510,Scenic Rim (R),36510,Scenic Rim (R),0.9998926,Good,Good,0
36580,Somerset (R),36580,Somerset (R),1,Good,Good,0
36630,South Burnett (R),36630,South Burnett (R),1,Good,Good,0
36660,Southern Downs (R),36660,Southern Downs (R),1,Good,Good,0
36720,Sunshine Coast (R),36720,Sunshine Coast (R),1,Good,Good,0
36720,Sunshine Coast (R),,,0,NA,Good,4
36820,Tablelands (R),32310,Charters Towers (R),0.0001736,Good,Good,1
36820,Tablelands (R),34880,Mareeba (S),0.0001736,Good,Good,1
36820,Tablelands (R),36820,Tablelands (R),0.9996527,Good,Good,0
36910,Toowoomba (R),36910,Toowoomba (R),1,Good,Good,0
36950,Torres (S),36950,Torres (S),0.9999951,Good,Good,0
36950,Torres (S),,,4.90E-06,NA,Good,4
36960,Torres Strait Island (R),36960,Torres Strait Island (R),1,Good,Good,0
37010,Townsville (C),37010,Townsville (C),1,Good,Good,0
37300,Weipa (T),37300,Weipa (T),1,Good,Good,0
37310,Western Downs (R),34860,Maranoa (R),0,Good,Good,1
37310,Western Downs (R),37310,Western Downs (R),1,Good,Good,0
37340,Whitsunday (R),37340,Whitsunday (R),1,Good,Good,0
37400,Winton (S),37400,Winton (S),1,Good,Good,0
37550,Woorabinda (S),37550,Woorabinda (S),1,Good,Good,0
37570,Wujal Wujal (S),37570,Wujal Wujal (S),1,Good,Good,0
37600,Yarrabah (S),37600,Yarrabah (S),1,Good,Good,0
39399,Unincorporated Qld,39399,Unincorporated Qld,1,Good,Good,0
40070,Adelaide (C),40070,Adelaide (C),1,Good,Good,0
40120,Adelaide Hills (DC),40120,Adelaide Hills (DC),1,Good,Good,0
40220,Alexandrina (DC),40220,Alexandrina (DC),1,Good,Good,0
40250,Anangu Pitjantjatjara (AC),40250,Anangu Pitjantjatjara (AC),1,Good,Good,0
40310,Barossa (DC),40310,Barossa (DC),1,Good,Good,0
40430,Barunga West (DC),40430,Barunga West (DC),1,Good,Good,0
40520,Berri and Barmera (DC),40520,Berri and Barmera (DC),0.9986768,Good,Good,0
40520,Berri and Barmera (DC),49399,Unincorporated SA,0.0013232,Good,Good,1
40700,Burnside (C),40700,Burnside (C),1,Good,Good,0
40910,Campbelltown (C),40910,Campbelltown (C) (SA),1,Good,Good,0
41010,Ceduna (DC),41010,Ceduna (DC),1,Good,Good,0
41060,Charles Sturt (C),41060,Charles Sturt (C),1,Good,Good,0
41140,Clare and Gilbert Valleys (DC),41140,Clare and Gilbert Valleys (DC),1,Good,Good,0
41190,Cleve (DC),41190,Cleve (DC),1,Good,Good,0
41330,Coober Pedy (DC),41330,Coober Pedy (DC),1,Good,Good,0
41560,Copper Coast (DC),41560,Copper Coast (DC),1,Good,Good,0
41750,Elliston (DC),41750,Elliston (DC),1,Good,Good,0
41830,Flinders Ranges (DC),41830,Flinders Ranges (DC),0.9975387,Good,Good,0
41830,Flinders Ranges (DC),49399,Unincorporated SA,0.0024613,Good,Good,1
41960,Franklin Harbour (DC),41960,Franklin Harbour (DC),1,Good,Good,0
42030,Gawler (T),42030,Gawler (T),0.9998566,Good,Good,0
